Voltage [V] - Plot 0	Current [microA] - Plot 0
25.38	3.42873
25.1262	3.40869
24.8724	3.38338
24.6186	3.36298
24.3648	3.33673
24.111	3.29457
23.8572	3.2853
23.6034	3.26796
23.3496	3.23388
23.0958	3.22205
22.842	3.19109
22.5882	3.18086
22.3344	3.13291
22.0806	3.11416
21.8268	3.08112
21.573	3.05576
21.3192	3.03296
21.0654	3.00972
20.8116	2.97718
20.5578	2.95451
20.304	2.92668
20.0502	2.89857
19.7964	2.86301
19.5426	2.84279
19.2888	2.81742
19.035	2.77186
18.7812	2.7494
18.5274	2.71648
18.2736	2.67328
18.0198	2.64597
17.766	2.59854
17.5122	2.55603
17.2584	2.51551
17.0046	2.46276
16.7508	2.40919
16.497	2.33913
16.2432	2.25465
15.9894	2.16891
15.7356	2.06546
15.4818	1.95024
15.228	1.83645
14.9742	1.695
14.7204	1.5472
14.4666	1.37624
14.2128	1.19054
13.959	0.99804
13.7052	0.7928
13.4514	0.59141
13.1976	0.35092
12.9438	0.12527
12.69	-0.10374
12.4362	-0.34375
12.1824	-0.58049
11.9286	-0.81048
11.6748	-1.05257
11.421	-1.25871
11.1672	-1.47494
10.9134	-1.68699
10.6596	-1.85284
10.4058	-2.051
10.152	-2.21386
9.8982	-2.34774
9.6444	-2.47958
9.3906	-2.60567
9.1368	-2.70712
8.883	-2.79114
8.6292	-2.87175
8.3754	-2.93467
8.1216	-3.00796
7.8678	-3.06674
7.614	-3.11583
7.3602	-3.16182
7.1064	-3.19893
6.8526	-3.23879
6.5988	-3.27579
6.345	-3.31445
6.0912	-3.34042
5.8374	-3.38744
5.5836	-3.42366
5.3298	-3.44341
5.076	-3.48535
4.8222	-3.52449
4.5684	-3.5503
4.3146	-3.57151
4.0608	-3.61134
3.807	-3.63502
3.5532	-3.66863
3.2994	-3.69347
3.0456	-3.74076
2.7918	-3.75978
2.538	-3.81204
2.2842	-3.80927
2.0304	-3.84731
1.7766	-3.87801
1.5228	-3.91411
1.269	-3.92971
1.0152	-3.9628
0.7614	-3.99663
0.5076	-4.01983
0.2538	-4.04906
0	-4.08387
-0.2538	-4.10945
-0.5076	-4.12785
-0.7614	-4.15323
-1.0152	-4.19014
-1.269	-4.2095
-1.5228	-4.23769
-1.7766	-4.24005
-2.0304	-4.25901
-2.2842	-4.32013
-2.538	-4.34225
-2.7918	-4.38172
-3.0456	-4.39137
-3.2994	-4.4119
-3.5532	-4.44711
-3.807	-4.47821
-4.0608	-4.49621
-4.3146	-4.52902
-4.5684	-4.55103
-4.8222	-4.56869
-5.076	-4.59317
-5.3298	-4.61647
-5.5836	-4.64494
-5.8374	-4.67699
-6.0912	-4.69412
-6.345	-4.71858
-6.5988	-4.73899
-6.8526	-4.77184
-7.1064	-4.7892
-7.3602	-4.81157
-7.614	-4.83474
-7.8678	-4.86312
-8.1216	-4.87891
-8.3754	-4.90181
-8.6292	-4.93348
-8.883	-4.95448
-9.1368	-4.96768
-9.3906	-4.98999
-9.6444	-5.01014
-9.8982	-5.04905
-10.152	-5.05831
-10.4058	-5.08481
-10.6596	-5.10477
-10.9134	-5.12876
-11.1672	-5.15351
-11.421	-5.16119
-11.6748	-5.19436
-11.9286	-5.2166
-12.1824	-5.22558
-12.4362	-5.25363
-12.69	-5.25675
-12.9438	-5.29279
-13.1976	-5.32396
