Voltage [V] - Plot 0	Current [microA] - Plot 0
25.38	12.65482
25.1262	12.64415
24.8724	12.63019
24.6186	12.58694
24.3648	12.55743
24.111	12.556
23.8572	12.53234
23.6034	12.50604
23.3496	12.12375
23.0958	12.41601
22.842	12.37835
22.5882	12.33889
22.3344	12.23323
22.0806	12.16443
21.8268	12.12019
21.573	12.00097
21.3192	11.93778
21.0654	11.88257
20.8116	11.79825
20.5578	11.74219
20.304	11.65977
20.0502	11.59731
19.7964	11.5396
19.5426	11.4886
19.2888	11.34786
19.035	11.32348
18.7812	11.21921
18.5274	11.17184
18.2736	11.09688
18.0198	10.99102
17.766	10.90654
17.5122	10.84779
17.2584	10.78502
17.0046	10.67438
16.7508	10.60617
16.497	10.5321
16.2432	10.44678
15.9894	10.42703
15.7356	10.34171
15.4818	10.21567
15.228	10.10385
14.9742	10.05576
14.7204	9.92683
14.4666	9.85192
14.2128	9.71978
13.959	9.63197
13.7052	9.57648
13.4514	9.44673
13.1976	9.34658
12.9438	9.21731
12.69	9.1154
12.4362	9.02418
12.1824	8.88389
11.9286	8.72872
11.6748	8.57046
11.421	8.38672
11.1672	8.19834
10.9134	7.94698
10.6596	7.66406
10.4058	7.32455
10.152	6.99797
9.8982	6.63991
9.6444	6.16162
9.3906	5.46982
9.1368	5.05107
8.883	4.16754
8.6292	3.83407
8.3754	3.32817
8.1216	2.67486
7.8678	1.68472
7.614	1.11968
7.3602	0.62559
7.1064	0.01114
6.8526	-0.71943
6.5988	-1.45793
6.345	-2.18543
6.0912	-2.89146
5.8374	-3.52047
5.5836	-4.25519
5.3298	-4.88646
5.076	-5.5819
4.8222	-6.20011
4.5684	-6.87593
4.3146	-7.42396
4.0608	-7.94202
3.807	-8.47289
3.5532	-8.91742
3.2994	-9.41518
3.0456	-9.76082
2.7918	-10.12226
2.538	-10.74026
2.2842	-10.90394
2.0304	-10.89494
1.7766	-11.08386
1.5228	-11.23042
1.269	-11.42069
1.0152	-11.5438
0.7614	-11.68761
0.5076	-11.86276
0.2538	-11.97167
0	-12.08538
-0.2538	-12.00341
-0.5076	-12.21384
-0.7614	-12.30947
-1.0152	-12.43747
-1.269	-12.55499
-1.5228	-12.6588
-1.7766	-12.76254
-2.0304	-12.85761
-2.2842	-12.9578
-2.538	-13.02316
-2.7918	-13.16912
-3.0456	-13.25554
-3.2994	-13.23609
-3.5532	-13.29909
-3.807	-13.40136
-4.0608	-13.49398
-4.3146	-13.6128
-4.5684	-13.77539
-4.8222	-13.80257
-5.076	-13.85845
-5.3298	-14.00769
-5.5836	-14.10101
-5.8374	-14.19574
-6.0912	-14.26789
-6.345	-14.36445
-6.5988	-14.41492
-6.8526	-14.57296
-7.1064	-14.63306
-7.3602	-14.7663
-7.614	-14.81417
-7.8678	-14.89359
-8.1216	-15.02236
-8.3754	-15.17454
-8.6292	-15.27115
-8.883	-15.35207
-9.1368	-15.40647
-9.3906	-15.49439
-9.6444	-15.56862
-9.8982	-15.55758
-10.152	-15.56649
-10.4058	-15.67358
-10.6596	-15.8254
